SampleID,Season,Tide.regime,Date,ShortDate,Time,DateFull,Epoch_timestamp,TideShort,Tide,DateTide,DateOrder,SampleType,Well,Depth,DepthMSL,depth_bin,DistanceMSL,DistanceW1,cluster,Temperature,Salinity,DO_mg.l,DO_uM,pH,Nitrite,Nitrate,Phosphate,Ammonium,Cells_mL,DOC,TN,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,Lignin,BIX,HIX,FI,M_to_C
230222_L_W2D3,February 2022,Neap,2/23/22,23-Feb,12:40:00,2/23/22 12:40,1645648800,L,LL,23-Feb-L,2,Microbial,Well 2,Depth 3,-0.222504,0,50.45,4.700016,Intermediate,14.5,0.8,1.66,51.876992,9,0.571155233,470.5605175,69.18759174,1.364129454,672497.1774,636.8396513,469.8554977,0.56915032,0.076494393,0.465465878,0.728102349,0.310388194,0.071928621,0.470708151,0.472543873,1.118218895,1.357235736,17.76436664,1.030210203,0.639286328
230222_L_W3D2,February 2022,Neap,2/23/22,23-Feb,13:19:00,2/23/22 13:19,1645651140,L,LL,23-Feb-L,2,Microbial,Well 3,Depth 2,0.155448,0.25,44.97,10.186416,Shallow,13.7,3.2,7.8,243.75936,9.2,0,182.2699137,21.82492395,2.698534055,704403.9778,659.8191612,259.5275832,0.593420146,0.078466251,0.481030302,0.765250862,0.350517784,0.035139162,0.478678964,0.486291889,1.382857673,1.368287718,17.47046041,1.032605097,0.62859165
230222_L_W3D3,February 2022,Neap,2/23/22,23-Feb,13:19:00,2/23/22 13:19,1645651140,L,LL,23-Feb-L,2,Microbial,Well 3,Depth 3,-0.326136,-0.25,44.97,10.186416,Intermediate,13.5,2.1,2.7,84.37824,8.9,0.285577616,323.4166506,32.38224663,0.665155616,780489.4249,807.2710167,384.931854,0.651305011,0.086340579,0.516925895,0.855918857,0.409127069,0.058002268,0.498180939,0.518566379,1.530835813,1.393407479,18.01128836,1.03378992,0.603942641
230222_L_W3D4,February 2022,Neap,2/23/22,23-Feb,13:19:00,2/23/22 13:19,1645651140,L,LL,23-Feb-L,2,Microbial,Well 3,Depth 4,-1.088136,-1,44.97,10.186416,Deep,13.5,6.9,4.4,137.50528,7.9,3.212748185,188.338438,35.22336099,1.837140624,409879.6665,426.1941436,189.0613064,0.546143514,0.067810891,0.451972272,0.692046715,0.296733394,0.047712328,0.46391601,0.460476331,1.072822477,1.348309192,17.2528038,1.029862383,0.653095033
230222_L_W4D2,February 2022,Neap,2/23/22,23-Feb,14:05:00,2/23/22 14:05,1645653900,L,LL,23-Feb-L,2,Microbial,Well 4,Depth 2,-0.588264,-0.5,35.87,19.2786,Well 4,12.4,28.4,8.19,255.947328,7.8,0,105.2353517,3.971103026,0.887526367,128854.3862,110.2258819,113.6663168,0.216686955,0.028944324,0.209476272,0.231290149,0.095569147,0.003465946,0.095677137,0.174637359,0.273263857,0.745059292,7.425763647,1.485076431,0.905686096
230222_L_W4D3,February 2022,Neap,2/23/22,23-Feb,14:05:00,2/23/22 14:05,1645653900,L,LL,23-Feb-L,2,Microbial,Well 4,Depth 3,-1.00584,-1,35.87,19.2786,Well 4,12.2,23.5,6.5,203.1328,7.9,0,145.3590068,4.423098492,0.209230468,142353.4171,159.1822292,158.4306082,0.428457442,0.024514473,0.417148294,0.441071592,0.096671295,0.022991172,0.197496399,0.345227567,0.377776122,0.69300665,13.30269908,1.442161895,0.945760964
230222_L_W4D4,February 2022,Neap,2/23/22,23-Feb,14:05:00,2/23/22 14:05,1645653900,L,LL,23-Feb-L,2,Microbial,Well 4,Depth 4,-1.76784,-1.75,35.87,19.2786,Well 4,12,16.3,5.02,156.881024,8.1,0,201.1894308,5.423945596,1.158844726,105537.8782,218.7957405,232.0050404,0.51049351,0.037116326,0.430804313,0.635956883,0.143634272,0.013625778,0.297511971,0.441950023,0.539077504,0.761321049,13.73662376,1.34142302,0.677411195
230222_H_SW,February 2022,Neap,2/23/22,23-Feb,17:45:00,2/23/22 17:45,1645667100,H,HH,23-Feb-H,2,Microbial,Seawater,Depth 4,1,1,NA,30.48,Seawater,10.8,33,9.02,281.885824,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_H_W4D1,February 2022,Neap,2/24/22,24-Feb,4:34:00,2/24/22 4:34,1645706040,H,HH,24-Feb-H,3,Microbial,Well 4,Depth 1,-0.420624,-0.25,35.87,19.2786,Well 4,10.1,26.1,9.84,307.511808,8,0,112.7317641,3.58367834,0,100629.1397,116.6368322,125.3036047,0.213623328,0.026007655,0.205555004,0.2273723,0.074861724,0.006794242,0.09877014,0.166962148,0.240662286,0.746176847,8.964348025,1.446350761,0.904045937
240222_H_W4D2,February 2022,Neap,2/24/22,24-Feb,4:34:00,2/24/22 4:34,1645706040,H,HH,24-Feb-H,3,Microbial,Well 4,Depth 2,-0.588264,-0.5,35.87,19.2786,Well 4,10.4,26.7,7.9,246.88448,7.9,0,129.5808435,4.003388416,0.073571288,279798.0957,135.3701283,150.829603,0.291536706,0.023094236,0.284805498,0.306071079,0.063746389,0.004485921,0.140516298,0.235165495,0.286193374,0.712161167,13.58034784,1.442208196,0.930520774
240222_H_W4D3,February 2022,Neap,2/24/22,24-Feb,4:34:00,2/24/22 4:34,1645706040,H,HH,24-Feb-H,3,Microbial,Well 4,Depth 3,-1.00584,-1,35.87,19.2786,Well 4,9.6,16.2,3.87,120.942144,8.1,0,193.5502295,5.230233254,0.073571288,385335.9739,220.4609223,219.9036889,0.511263335,0.030431679,0.43106863,0.636189214,0.13265439,0.001462535,0.321209367,0.442016919,0.487778933,0.75493573,15.06469125,1.278215421,0.677579282
240222_H_W4D4,February 2022,Neap,2/24/22,24-Feb,4:34:00,2/24/22 4:34,1645706040,H,HH,24-Feb-H,3,Microbial,Well 4,Depth 4,-1.76784,-1.75,35.87,19.2786,Well 4,9.7,14.7,3.72,116.254464,8.1,0,222.3221744,6.101938796,0,331339.8502,238.3616275,246.5694989,0.487425379,0.035454328,0.410979466,0.607697408,0.148177611,0.026694362,0.333019724,0.420999817,0.558902203,0.807178972,14.21619186,1.174379097,0.676289649
240222_H_W3D2,February 2022,Neap,2/24/22,24-Feb,5:15:00,2/24/22 5:15,1645708500,H,HH,24-Feb-H,3,Microbial,Well 3,Depth 2,0.155448,0.25,44.97,10.186416,Shallow,10.8,2.4,5.4,168.75648,8.9,0,247.0960326,28.24971665,2.063103293,650407.8541,696.786199,297.116737,0.613791999,0.077576358,0.494942784,0.795717053,0.36241835,0.081751819,0.487868328,0.499063144,1.429016446,1.375341819,17.78433044,1.033514597,0.622008517
240222_H_W3D3,February 2022,Neap,2/24/22,24-Feb,5:15:00,2/24/22 5:15,1645708500,H,HH,24-Feb-H,3,Microbial,Well 3,Depth 3,-0.326136,-0.25,44.97,10.186416,Intermediate,10.5,1.9,2.6,81.25312,8.7,0.285577616,324.7017499,31.76882421,1.173500226,NA,717.1014179,409.7771067,0.631524581,0.079713958,0.505735669,0.824272204,0.410666672,0.043861602,0.493636174,0.507971845,1.477715038,1.385638613,17.80407137,1.034122267,0.613554195
240222_H_W3D4,February 2022,Neap,2/24/22,24-Feb,5:15:00,2/24/22 5:15,1645708500,H,HH,24-Feb-H,3,Microbial,Well 3,Depth 4,-1.088136,-1,44.97,10.186416,Deep,10.6,8.1,2.8,87.50336,7.7,2.498804144,143.2171746,35.25564638,1.701481445,211075.7564,409.2092884,184.2421841,0.544737998,0.057423436,0.4516253,0.688099301,0.258819818,0.042377473,0.465694254,0.460200582,0.969105362,1.345044644,18.41196585,1.02982883,0.656337391
240222_H_W2D2,February 2022,Neap,2/24/22,24-Feb,5:45:00,2/24/22 5:45,1645710300,H,HH,24-Feb-H,3,Microbial,Well 2,Depth 2,0.347472,0.5,50.45,4.700016,Shallow,9.6,4,10.3,321.88736,8.6,20.13322196,376.2485096,28.54028516,13.69148624,3497476.196,836.6614768,445.2244283,0.599625679,0.134810251,0.485716513,0.774311435,0.458145154,0.101726048,0.483741401,0.490553923,1.501918774,1.369537299,14.07819734,1.031847198,0.627288311
240222_H_W2D3,February 2022,Neap,2/24/22,24-Feb,5:45:00,2/24/22 5:45,1645710300,H,HH,24-Feb-H,3,Microbial,Well 2,Depth 3,-0.222504,0,50.45,4.700016,Intermediate,11.6,0.9,5.62,175.631744,9,0.499760829,425.0108876,65.05506176,0.220354082,807487.4867,646.6642244,438.3705655,0.568206859,0.073085514,0.465393081,0.72452481,0.303375709,0.030204707,0.473515951,0.472201007,1.086674402,1.352664197,17.81071217,1.031846967,0.642342504
240222_H_W1D2,February 2022,Neap,2/24/22,24-Feb,6:10:00,2/24/22 6:10,1645711800,H,HH,24-Feb-H,3,Microbial,Well 1,Depth 2,0.536448,0.75,55.15,0,Shallow,11.6,1.2,6.3,196.88256,8.8,0.571155233,296.5723547,46.84610155,2.634990979,1116738.014,718.8498589,348.7348912,0.628605918,0.069403775,0.502800168,0.818407733,0.340941413,0.094643492,0.492562272,0.505857898,1.25480271,1.380437232,19.53899102,1.03396767,0.614363902
